Food_name,Calories,Protein,Carbohydrates,Fats,Meal_type,is_vegan,is_vegetarian
Chicken stir-fry with brown rice,510.0,26.0,52.0,52.0,Dinner,False,False
Vegetarian chili with brown rice,219.0,22.0,23.6,11.0,Dinner,False,True
Chicken and vegetable stir-fry with brown rice,670.0,57.3,98.0,26.0,Dinner,False,False
Tofu stir-fry with brown rice and vegetables,411.0,28.0,44.0,17.0,Dinner,True,True
Chicken breast with sweet potato and green beans,72.0,28.0,25.0,1.6,Dinner,False,False
Vegan pasta with vegetables and tomato sauce,440.0,28.0,44.0,22.0,Dinner,True,True
Black bean burgers with sweet potato fries,1021.0,87.0,254.0,82.0,Dinner,False,False
Tofu stir-fry with brown rice noodles,663.0,2.5,43.3,19.3,Dinner,True,True
Steak with sweet potato and asparagus,409.0,11.0,30.0,10.0,Dinner,False,False
Vegetable stir-fry with tofu and brown rice,780.0,61.0,15.0,22.0,Dinner,True,True
Chicken breast with brown rice and vegetables,760.0,76.0,17.0,35.2,Dinner,False,False
Black bean burgers with salad,468.0,38.0,61.0,21.0,Dinner,False,False
Lentil and vegetable curry with brown rice,395.0,30.0,70.0,16.0,Dinner,True,True
Lentil pasta with marinara sauce,206.0,25.0,206.0,16.0,Dinner,True,True
Turkey meatballs with steamed vegetables,480.0,47.0,18.0,20.0,Dinner,False,False
Steak with sweet potato fries,741.0,80.0,38.0,42.0,Dinner,False,False
Lentil soup with whole-wheat bread,1160.0,41.0,140.0,28.0,Dinner,True,True
Chickpea curry with brown rice,440.0,27.0,44.0,5.0,Dinner,True,True
Lentil stew with whole-wheat bread,784.0,58.0,104.0,50.0,Dinner,True,True
Chicken breast with roasted vegetables,422.0,42.0,42.0,10.0,Dinner,False,False
Tofu stir-fry with brown rice,1140.0,11.0,10.0,31.0,Dinner,True,True
Beef stew with brown rice,773.0,7.2,35.0,43.0,Dinner,False,False
Vegan chili with brown rice,666.0,30.0,216.0,34.0,Dinner,True,True
Vegan pasta with marinara sauce,729.0,20.0,70.0,43.0,Dinner,True,True
Fish with roasted vegetables,541.0,53.0,541.0,10.0,Dinner,False,False
Black bean burgers on whole-wheat buns,989.0,10.8,27.0,10.0,Dinner,False,False
Grilled salmon with roasted vegetables,708.0,50.0,45.0,26.0,Dinner,False,False
Lentil stew with brown rice,690.0,44.0,20.5,16.0,Dinner,True,True
Salmon with sweet potato and broccoli,534.0,55.0,40.0,40.0,Dinner,False,False
Tuna with quinoa and roasted vegetables,1759.0,165.0,184.5,63.6,Dinner,True,True
Steak with baked potato and green beans,489.0,22.0,52.0,42.0,Dinner,True,True
Vegetarian lasagna with salad,871.0,67.0,110.0,33.0,Dinner,False,True
Salmon with roasted vegetables and quinoa,600.0,28.0,25.0,40.0,Dinner,False,False
Steak with baked potato and broccoli,709.0,71.0,10.8,53.0,Dinner,False,False
Lentil and vegetable stew,352.0,7.0,42.0,19.0,Dinner,True,True
Beef stir-fry with brown rice,909.0,66.0,57.0,122.0,Dinner,False,False
Beef stew with whole grain bread,140.0,11.0,56.0,21.0,Dinner,False,False
Chickpea and vegetable pasta,180.0,42.0,76.0,70.0,Dinner,True,True
Salmon with steamed vegetables,1191.0,63.2,1191.0,44.0,Dinner,False,False
Steak with sweet potato and green beans,460.0,27.0,46.0,12.0,Dinner,True,True
Salmon with roasted sweet potatoes,482.0,48.0,482.0,48.0,Dinner,False,False
Chickpea and vegetable curry with brown rice,1080.0,30.0,78.0,45.5,Dinner,True,True
Steak with mashed potatoes and green beans,2310.0,61.0,280.0,70.0,Dinner,True,True
Lentil and vegetable soup with whole-wheat bread,14.0,14.0,60.05,4.0,Dinner,True,True
Lentil soup with whole wheat bread,950.0,3.0,45.0,6.0,Dinner,True,True
Quinoa salad with roasted vegetables,1044.0,25.0,66.0,66.0,Dinner,True,True
Lentil and vegetable stew with brown rice,520.0,21.0,115.0,30.0,Dinner,True,True
Tuna salad sandwich on whole-wheat bread,40.0,40.0,20.0,40.0,Dinner,False,False
Chicken breast with roasted vegetables and sweet potato,443.0,17.0,443.0,44.0,Dinner,False,False
Grilled chicken with roasted vegetables,215.0,85.0,45.0,28.0,Dinner,False,False
Quinoa bowl with roasted chickpeas and vegetables,165.0,21.0,21.0,21.0,Dinner,True,True
Lentil pasta with tomato sauce,1220.0,2.1,1220.0,29.0,Dinner,True,True
Turkey chili with sweet potato,1430.0,143.0,40.0,50.0,Dinner,False,False
Chicken breast with sweet potato and broccoli,154.0,45.0,54.0,45.0,Dinner,False,False
Quinoa bowl with roasted vegetables and chickpeas,1046.0,27.0,76.0,28.0,Dinner,True,True
Black bean burger on whole-wheat bun with avocado,1220.0,21.0,87.0,50.0,Dinner,False,False
Tofu stir-fry with vegetables,379.0,10.0,18.0,22.0,Dinner,True,True
Chickpea and vegetable pasta bake,760.0,28.0,260.0,48.0,Dinner,True,True
Tofu and vegetable stir-fry,573.0,34.3,130.0,17.0,Dinner,True,True
Lentil and vegetable curry with rice,486.0,36.0,86.0,22.0,Dinner,True,True
Chickpea and vegetable stew,376.0,28.0,44.0,30.0,Dinner,True,True
Black bean burgers with avocado,523.0,42.0,17.0,24.8,Dinner,False,False
Grilled chicken breast with quinoa and steamed vegetables,626.0,65.0,20.0,32.0,Dinner,False,False
Black bean burgers with roasted sweet potatoes and a green salad,691.0,35.0,250.0,13.0,Dinner,False,False
Vegan pasta with marinara sauce and a side salad,210.0,14.0,20.0,33.0,Dinner,True,True
Lentil soup with a side of whole-wheat bread,190.0,19.0,120.0,19.0,Dinner,True,True
Vegetable frittata,482.0,28.3,110.0,23.0,Dinner,True,True
Chickpea pasta with tomato sauce and spinach,539.0,40.0,52.0,42.0,Dinner,True,True
Vegetable curry with brown rice,358.0,28.0,62.0,4.0,Dinner,True,True
Fish with steamed broccoli,240.0,56.0,98.0,14.0,Dinner,False,False
Salmon with roasted vegetables and brown rice,420.0,48.0,32.0,16.0,Dinner,False,False
Lentil pasta with tomato sauce and vegetables,1068.0,4.0,180.0,15.0,Dinner,True,True
Steak with sweet potato fries and a side salad,527.0,27.0,30.0,26.0,Dinner,False,False
Chickpea pasta with marinara sauce and vegetables,565.0,42.0,200.0,28.0,Dinner,True,True
Salmon with roasted vegetables and sweet potato,562.96,28.46,28.46,23.8,Dinner,False,False
Turkey meatballs with whole-wheat pasta,687.0,46.2,202.0,23.6,Dinner,False,False
Lentil and vegetable stew with whole-wheat bread,450.0,3.6,18.0,16.5,Dinner,True,True
Steak with roasted vegetables and brown rice,639.0,4.0,100.0,4.0,Dinner,True,True
Chicken breast with steamed vegetables and brown rice,452.0,28.0,45.0,17.9,Dinner,False,False
Grilled salmon with quinoa and roasted vegetables,1190.0,36.0,74.0,47.0,Dinner,False,False
Vegan black bean burgers on whole wheat buns,820.0,38.0,64.0,40.0,Dinner,True,True
Grilled chicken with sweet potato and broccoli,819.0,27.0,400.0,68.0,Dinner,False,False
Lentil stew with whole wheat bread,403.0,18.0,23.0,2.8,Dinner,True,True
Baked chicken with roasted vegetables,700.0,55.0,64.0,27.0,Dinner,False,False
Steak with sweet potatoes and broccoli,1202.0,273.0,30.0,49.0,Dinner,False,False
Tuna salad with whole-wheat bread,141.0,16.0,91.0,7.0,Dinner,False,False
Lentil stew with whole-grain bread,440.0,19.0,20.0,40.0,Dinner,True,True
Steak with roasted vegetables and sweet potato,292.0,47.0,270.0,32.0,Dinner,True,True
Chickpea pasta with vegetable sauce,660.0,40.0,115.0,46.0,Dinner,True,True
Chicken stir fry with brown rice and vegetables,491.0,28.0,491.0,50.0,Dinner,False,False
Black bean soup with whole-grain bread,140.0,28.0,40.0,11.0,Dinner,False,False
Lentil soup with whole-grain bread,1770.0,17.0,220.0,50.0,Dinner,True,True
Vegan lentil stew,885.0,22.0,188.0,50.0,Dinner,True,True
Salmon with vegetables,590.0,59.0,59.0,59.0,Dinner,False,False
Chickpea pasta with marinara sauce,760.0,30.0,85.0,18.0,Dinner,True,True
Quinoa salad with grilled chicken,503.0,22.0,219.0,21.0,Dinner,False,False
Tofu and vegetable stir-fry with brown rice,293.0,10.0,69.0,61.0,Dinner,True,True
Grilled chicken salad with quinoa,514.0,39.0,170.0,47.0,Dinner,False,False
Steak with baked potato and salad,420.0,60.0,42.0,42.0,Dinner,False,False
Vegetable lasagna with salad,1246.0,28.2,1246.0,12.0,Dinner,True,True
Chickpea pasta with tomato sauce and vegetables,834.0,28.0,155.0,16.0,Dinner,True,True
Salmon with quinoa and steamed vegetables,1023.0,102.0,95.0,8.0,Dinner,False,False
Chicken breast with roasted vegetables and quinoa,192.0,52.0,24.0,39.0,Dinner,False,False
Roast beef with mashed potatoes and peas,451.0,45.0,70.0,24.0,Dinner,False,False
Black bean burgers on wholegrain buns,847.0,21.0,94.0,55.0,Dinner,False,False
Chicken breast with vegetables,565.0,47.0,220.0,55.0,Dinner,False,False
Beef and vegetable skewers with sweet potato fries,105.0,8.9,36.0,31.0,Dinner,False,False
Vegan chili with whole grain bread,420.0,12.0,81.0,5.0,Dinner,True,True
Vegan pasta with vegetables and cashew cream sauce,425.0,52.0,150.0,30.0,Dinner,True,True
Quinoa salad with grilled vegetables,500.0,1.0,14.0,14.0,Dinner,True,True
Vegan pizza with vegetables and cashew cheese,711.0,43.0,356.0,22.0,Dinner,True,True
Fish with roasted vegetables and quinoa,513.0,54.0,67.0,38.0,Dinner,False,False
Chicken and vegetable stir-fry,420.0,23.1,43.0,32.0,Dinner,False,False
Lentil and vegetable stew with whole wheat bread,580.0,20.6,98.0,16.0,Dinner,True,True
Tempeh stir-fry with brown rice,767.0,52.0,304.0,11.0,Dinner,False,False
Black bean burger with sweet potato fries,540.0,46.0,40.0,23.0,Dinner,False,False
Chicken breast with baked potato,803.0,27.4,270.0,31.0,Dinner,False,False
Salmon with quinoa and steamed broccoli,120.0,20.0,12.0,42.0,Dinner,False,False
Baked chicken with sweet potato and green beans,1040.0,104.0,249.0,60.0,Dinner,False,False
Steak with quinoa and steamed broccoli,680.0,90.0,48.0,18.0,Dinner,False,False
Baked fish with steamed vegetables,678.0,29.0,23.0,5.0,Dinner,False,False
Vegetarian chili,660.0,20.0,72.0,19.0,Dinner,False,True
Vegan lasagna,1079.0,13.1,54.0,13.0,Dinner,True,True
Turkey chili with cornbread,496.0,79.0,37.0,49.0,Dinner,False,False
Turkey meatballs with spaghetti squash,340.0,66.0,34.0,21.0,Dinner,False,False
Salmon with asparagus and sweet potato,392.0,47.0,46.0,4.0,Dinner,False,False
Bean and vegetable burrito,10.0,1.6,15.4,10.0,Dinner,True,True
Bean burgers with sweet potato fries,540.0,28.0,41.0,43.0,Dinner,False,False
Black bean burgers with brown rice and roasted vegetables,441.0,45.0,37.0,42.0,Dinner,True,True
Vegetable stir-fry with quinoa,702.0,17.0,30.0,5.0,Dinner,True,True
Turkey chili with whole-wheat bread,330.0,23.0,25.0,23.0,Dinner,False,False
Lentil loaf with roasted vegetables,160.0,4.0,32.0,4.0,Dinner,True,True
Vegetarian lasagna with a side salad,14.0,14.0,31.0,14.0,Dinner,False,True
Vegan pasta with marinara sauce and vegetables,12.0,17.0,132.0,25.0,Dinner,True,True
Chickpea pasta with tomato sauce,170.0,20.0,24.0,5.0,Dinner,True,True
Bean burrito with brown rice,250.0,16.5,30.0,21.0,Dinner,False,False
Lentil soup with whole grain bread,55.0,28.0,57.0,28.0,Dinner,True,True
Lentil stew with whole grain bread,421.0,2.3,67.0,17.7,Dinner,True,True
Lentil and vegetable soup with whole grain bread,346.0,2.0,59.0,52.0,Dinner,True,True
Lentil stew with vegetables and brown rice,302.0,23.4,11.2,16.0,Dinner,True,True
Bean and vegetable stir-fry with brown rice,180.0,6.0,180.0,9.0,Dinner,True,True
Turkey chili with whole grain bread,50.0,23.0,16.0,14.0,Dinner,False,False
Chicken Stir-Fry with Brown Rice,238.0,16.5,156.0,3.0,Dinner,False,False
Lentil Soup with Whole Wheat Bread,640.0,50.0,18.0,7.0,Dinner,True,True
Salmon with Roasted Sweet Potatoes,710.0,16.3,72.0,19.0,Dinner,False,False
Black Bean Burgers on Whole Wheat Buns,560.0,21.9,55.0,10.0,Dinner,False,False
Grilled Steak with Sweet Potato Fries,1440.0,4.0,56.0,37.0,Dinner,False,False
Salmon with roasted sweet potatoes and broccoli,500.0,42.0,42.0,27.0,Dinner,False,False
Steak with sweet potato fries and mixed greens,2168.0,120.0,269.0,120.0,Dinner,False,False
Beef with sweet potato and green beans,491.0,2.0,245.0,5.0,Dinner,False,False
Lentil pasta with vegan pesto sauce,188.0,18.0,19.0,13.0,Dinner,True,True
Chicken breast with quinoa and vegetables,623.0,65.0,100.0,46.0,Dinner,False,False
Vegan burgers with sweet potato fries,412.0,28.0,41.0,15.0,Dinner,True,True
Steak with baked potato,365.0,85.0,510.0,51.0,Dinner,False,False
Chicken breast with broccoli and sweet potato,516.0,64.0,150.0,15.0,Dinner,False,False
Tofu and quinoa bowl,439.0,10.5,194.0,72.0,Dinner,True,True
Vegetable curry,297.0,24.1,24.0,9.1,Dinner,True,True
Beef and broccoli stir-fry,436.0,6.1,41.0,15.8,Dinner,False,False
Baked salmon with veggies,290.0,29.0,17.0,37.0,Dinner,False,False
Pasta with marinara sauce,788.0,28.0,78.0,28.0,Dinner,False,False
Pasta with marinara sauce and veggies,835.0,120.0,250.0,34.0,Dinner,False,True
Greek yogurt with fruit,150.0,10.0,20.0,5.0,Snack,True,True
Apple with almond butter,180.0,4.0,30.0,8.0,Snack,False,False
Trail mix,300.0,8.0,34.0,20.0,Snack,False,False
Banana with peanut butter,210.0,5.0,30.0,9.0,Snack,True,True
Fruit and nut mix,250.0,6.0,28.0,15.0,Snack,True,True
Hummus and veggie wrap,200.0,7.0,25.0,10.0,Snack,False,True
Protein shake,200.0,20.0,10.0,5.0,Snack,False,False
Cottage cheese with fruit,160.0,14.0,12.0,5.0,Snack,True,True
Energy bar,220.0,10.0,25.0,8.0,Snack,False,False
Fruit and veggie sticks,100.0,2.0,20.0,1.0,Snack,True,True
Trail mix with nuts and seeds,350.0,10.0,40.0,25.0,Snack,True,True
Fruit salad with yogurt,150.0,4.0,25.0,7.0,Snack,True,True
Popcorn,100.0,3.0,15.0,5.0,Snack,False,False
Smoothie with protein powder,200.0,20.0,30.0,2.0,Snack,False,False
Fruit and nuts,180.0,6.0,30.0,8.0,Snack,True,True
Protein bar,250.0,8.0,30.0,12.0,Snack,False,False
Apple with peanut butter,180.0,4.0,30.0,8.0,Snack,True,True
Trail mix with nuts and dried fruit,350.0,10.0,40.0,25.0,Snack,True,True
Greek yogurt with fruit and granola,200.0,12.0,30.0,6.0,Snack,True,True
Banana with almond butter,210.0,5.0,30.0,9.0,Snack,False,False
Mixed nuts and seeds,200.0,6.0,20.0,15.0,Snack,True,True
Apple slices with peanut butter,180.0,4.0,30.0,8.0,Snack,True,True
Fruit smoothie,150.0,2.0,35.0,1.0,Snack,True,True
Apple slices with almond butter,180.0,6.0,30.0,8.0,Snack,False,False
Fruit and cheese,200.0,10.0,15.0,10.0,Snack,True,True
Fruit and yogurt,150.0,10.0,20.0,5.0,Snack,True,True
Fruit salad with nuts,150.0,4.0,25.0,7.0,Snack,True,True
Protein shake with banana,200.0,20.0,30.0,2.0,Snack,False,False
Energy bar with nuts and seeds,250.0,8.0,30.0,12.0,Snack,True,True
Smoothie with protein powder and fruit,180.0,6.0,30.0,8.0,Snack,True,True
Mixed nuts,180.0,6.0,30.0,8.0,Snack,True,True
Greek yogurt with nuts and seeds,180.0,6.0,30.0,8.0,Snack,True,True
Trail mix with almonds and dried fruit,350.0,10.0,40.0,25.0,Snack,True,True
Fruit salad with nuts and seeds,150.0,4.0,25.0,7.0,Snack,True,True
Protein shake with fruit,200.0,20.0,10.0,5.0,Snack,True,True
Trail mix with dried fruit and nuts,180.0,6.0,30.0,8.0,Snack,True,True
Vegetable sticks with hummus,180.0,6.0,30.0,8.0,Snack,True,True
Greek yogurt with fruit and nuts,180.0,6.0,30.0,8.0,Snack,True,True
Hummus with vegetables,180.0,6.0,30.0,8.0,Snack,True,True
Trail mix with nuts and dried fruits,180.0,6.0,30.0,8.0,Snack,True,True
Greek yogurt with berries,150.0,10.0,20.0,5.0,Snack,False,True
Low-fat Greek yogurt with berries,180.0,6.0,30.0,8.0,Snack,False,True
Raw vegetables and hummus,180.0,6.0,30.0,8.0,Snack,True,True
Celery sticks with peanut butter,180.0,6.0,30.0,8.0,Snack,True,True
Fruit salad,150.0,4.0,25.0,7.0,Snack,True,True
Trail mix with almonds and dried cranberries,180.0,6.0,30.0,8.0,Snack,False,False
Protein bar with nuts,180.0,6.0,30.0,8.0,Snack,True,True
Carrot sticks with hummus,180.0,6.0,30.0,8.0,Snack,False,False
Greek yogurt with berries and granola,180.0,6.0,30.0,8.0,Snack,False,True
String cheese with crackers,180.0,6.0,30.0,8.0,Snack,False,True
Protein shake with milk and banana,180.0,6.0,30.0,8.0,Snack,False,False
Fruit smoothie with almond milk,180.0,6.0,30.0,8.0,Snack,True,True
Greek yogurt with granola,180.0,6.0,30.0,8.0,Snack,False,True
Protein shake with almond butter,180.0,6.0,30.0,8.0,Snack,False,False
Peanut butter and banana sandwich,180.0,6.0,30.0,8.0,Snack,True,True
Popcorn with a sprinkle of cinnamon,180.0,6.0,30.0,8.0,Snack,False,False
Fruit and nut smoothie,200.0,8.0,35.0,5.0,Snack,True,True
Protein shake with fruit and spinach,180.0,6.0,30.0,8.0,Snack,True,True
Protein smoothie with almond milk and banana,200.0,20.0,30.0,2.0,Snack,False,False
Nuts and seeds,180.0,6.0,30.0,8.0,Snack,True,True
Mixed nuts and dried fruit,180.0,6.0,30.0,8.0,Snack,True,True
Fruit and vegetable smoothie,180.0,6.0,30.0,8.0,Snack,True,True
Whole-grain crackers with hummus,180.0,6.0,30.0,8.0,Snack,False,False
Hummus with carrots and cucumber,180.0,6.0,30.0,8.0,Snack,False,False
Fruit smoothie with plant-based milk,180.0,6.0,30.0,8.0,Snack,True,True
Fruit with yogurt,150.0,10.0,20.0,5.0,Snack,True,True
Almonds,180.0,6.0,30.0,8.0,Snack,False,False
Yogurt with fruit and granola,180.0,6.0,30.0,8.0,Snack,True,True
Fruit and vegetable salad,180.0,6.0,30.0,8.0,Snack,True,True
Fruit with nut butter,180.0,4.0,30.0,8.0,Snack,True,True
Banana,180.0,6.0,30.0,8.0,Snack,False,False
Rice cakes with peanut butter,180.0,6.0,30.0,8.0,Snack,True,True
Trail mix ,180.0,6.0,30.0,8.0,Snack,False,False
Popcorn with a touch of olive oil,180.0,6.0,30.0,8.0,Snack,False,False
Almond milk with banana and chia seeds,180.0,6.0,30.0,8.0,Snack,False,False
Hummus with wholegrain crackers,180.0,6.0,30.0,8.0,Snack,False,False
Yogurt with fruit,180.0,6.0,30.0,8.0,Snack,True,True
Yogurt parfait with granola,180.0,6.0,30.0,8.0,Snack,False,True
Fruit with nuts,180.0,6.0,30.0,8.0,Snack,True,True
Fruit with cottage cheese,160.0,14.0,12.0,5.0,Snack,True,True
Almonds with dried fruit,180.0,6.0,30.0,8.0,Snack,True,True
Protein shake with fruit and greens,180.0,6.0,30.0,8.0,Snack,True,True
Dark chocolate with almonds,180.0,6.0,30.0,8.0,Snack,False,False
Yogurt with granola,180.0,6.0,30.0,8.0,Snack,False,True
Protein smoothie,180.0,6.0,30.0,8.0,Snack,False,False
Protein smoothie with fruit,180.0,6.0,30.0,8.0,Snack,True,True
Fruit with almonds,200.0,6.0,20.0,15.0,Snack,True,True
Popcorn with a sprinkle of parmesan cheese,180.0,6.0,30.0,8.0,Snack,False,True
Protein shake with fruit ,180.0,6.0,30.0,8.0,Snack,True,True
Fruit and yogurt ,180.0,6.0,30.0,8.0,Snack,True,True
Protein shake with fruit and nuts,180.0,6.0,30.0,8.0,Snack,True,True
Protein shake with fruit and nuts ,180.0,6.0,30.0,8.0,Snack,True,True
Popcorn with nutritional yeast,180.0,6.0,30.0,8.0,Snack,True,True
Greek yogurt with protein powder,180.0,6.0,30.0,8.0,Snack,False,True
Protein smoothie with banana and spinach,180.0,6.0,30.0,8.0,Snack,False,False
Hummus and veggie wraps,180.0,6.0,30.0,8.0,Snack,False,True
Fruit and vegetables,180.0,6.0,30.0,8.0,Snack,True,True
Fruit salad with Greek yogurt,180.0,6.0,30.0,8.0,Snack,True,True
Fruit with almond butter,180.0,6.0,30.0,8.0,Snack,True,True
Fruit with nuts and seeds,200.0,6.0,20.0,15.0,Snack,True,True
Popcorn with a sprinkle of nutritional yeast,100.0,3.0,15.0,5.0,Snack,True,True
Apple with Peanut Butter,180.0,6.0,30.0,8.0,Snack,True,True
Mixed Nuts and Dried Fruits,180.0,6.0,30.0,8.0,Snack,True,True
Yogurt Parfait with Granola,180.0,6.0,30.0,8.0,Snack,False,True
Fruit Salad with Coconut Yogurt,180.0,6.0,30.0,8.0,Snack,True,True
Protein Shake with Banana,180.0,6.0,30.0,8.0,Snack,False,False
Greek yogurt with almonds and fruit,180.0,6.0,30.0,8.0,Snack,True,True
Hummus and veggie sticks,180.0,6.0,30.0,8.0,Snack,False,True
Trail mix with dried fruit,180.0,6.0,30.0,8.0,Snack,True,True
Hummus and vegetable sticks,180.0,6.0,30.0,8.0,Snack,True,True
Hummus and veggies,180.0,6.0,30.0,8.0,Snack,False,True
Greek yogurt with nuts,180.0,6.0,30.0,8.0,Snack,True,True
Capati,300.0,9.0,46.6,8.6,General,False,False
Dosai,147.0,4.8,27.36,2.08,General,False,False
 Kuih-Teow Bandung,540.0,17.1,57.6,27.0,General,False,False
Kuih-Teow Goreng,321.0,9.35,36.21,15.47,General,False,False
Mee Bandung,549.0,20.25,54.45,27.9,General,False,False
Mee Kari,529.0,11.89,36.9,36.9,General,False,False
Mee Goreng,281.0,9.31,40.63,9.01,General,False,False
Mee Sup,383.0,20.27,42.23,14.64,General,False,False
Mee-Hoon Bandung,491.0,13.95,56.7,22.95,General,False,False
Mee-Hoon Goreng,294.0,7.31,40.63,11.39,General,False,False
Nasi Ayam,278.0,16.1,46.0,3.22,General,False,False
Nasi Lemak,389.0,9.66,58.19,13.11,General,False,False
Nasi Dagang,507.0,8.0,91.5,12.25,General,False,False
Nasi Goreng,637.0,16.17,86.79,25.08,General,False,False
Nasi Minyak,436.0,7.6,73.75,12.25,General,False,False
Roti Canai,307.0,6.65,45.5,10.26,General,False,False
Roti Telur,356.0,12.42,46.17,13.5,General,False,False
Goreng Daging Lembu (4 pcs),576.0,52.87,31.96,26.35,General,False,False
Daging Lembu Masak Merah (4pcs),265.0,17.34,23.8,11.22,General,False,False
Kari Daging Lembu,259.0,26.28,15.48,10.26,General,False,False
Rendang Daging Lembu,253.0,18.2,7.8,16.5,General,False,False
Satay Daging Lembu (10 stick),360.0,30.6,33.15,11.7,General,False,False
Ayam Goreng,283.0,22.4,3.6,19.9,General,False,False
Kari Ayam,203.0,17.0,2.9,13.7,General,False,False
Ayam Kurma,175.0,12.4,1.2,13.4,General,False,False
Satay Ayam (10 stick),365.0,28.35,19.05,19.35,General,False,False
Kari Kambing,185.0,15.5,0.6,13.4,General,False,False
Ikan Tilapia Goreng Berlada,294.0,23.9,9.0,18.0,General,False,False
Ikan Tilapia Masak Lemak,190.0,14.5,0.9,14.3,General,False,False
Ikan Bawal Hitam Goreng,225.0,31.5,1.6,10.3,General,False,False
Ikan Bawal Hitam Goreng Berlada,242.0,24.3,3.4,14.6,General,False,False
Ikan Sembilang Goreng,254.0,28.7,2.8,14.2,General,False,False
Sotong Kecil Sambal,148.0,13.3,6.3,7.7,General,False,False
Ikan Cincaru Masak Cuka,193.0,26.3,1.4,9.1,General,False,False
Ikan Cincaru Goreng Berlada,215.0,18.3,7.1,12.6,General,False,False
Ikan Kembong Goreng,274.0,31.0,5.4,14.3,General,False,False
Ikan Kembong Masak Kicap,261.0,17.8,10.6,16.4,General,False,False
Ikan Kembong Goreng Berlada,336.0,19.4,1.2,28.2,General,False,False
Ikan Merah Masak Asam,230.0,21.0,8.0,12.7,General,False,False
Ikan Merah Goreng Berlada,260.0,33.5,1.2,13.5,General,False,False
Ikan Merah Masak Lemak,251.0,19.0,2.8,18.2,General,False,False
Udang Kecil Sambal,200.0,16.2,1.1,14.5,General,False,False
Ikan Haruan Kering Goreng,408.0,46.4,25.4,13.4,General,False,False
Ikan Tenggiri Goreng,331.0,39.3,3.5,17.7,General,False,False
Ikan tenggiri Goreng Berlada,286.0,22.4,1.4,21.2,General,False,False
Ikan Pari Masak Asam Pedas,245.0,26.6,3.6,13.8,General,False,False
Ikan Kerisi Goreng Berlada,339.0,26.5,5.3,23.5,General,False,False
Ikan Kerisi Masak Kicap,231.0,25.2,3.6,12.9,General,False,False
Ikan Tongkol Masak Lemak,119.0,15.7,6.1,3.5,General,False,False
Ikan Selar Kuning Masak Asam Pedas,265.0,18.6,6.3,18.4,General,False,False
